food,Protein,fat,Vitamin C,Fiber
Beef,19.42,12.73,0,0
Borage,1.8,0.7,35,0
Cabbage,1.28,0.1,36.6,2.5
Chard,1.8,0.2,30,1.6
Chicken,17.44,8.1,0,0
Chives,3.27,0.73,58.1,2.5
Collards,3.02,0.61,35.3,4
Corn,3.27,1.35,6.8,2
Duck,17.42,15.2,5.2,0
Eppaw,4.6,1.8,13,0
Goat,20.6,2.31,0,0
Goose,16.37,4.28,4.5,0
Guinea hen,23.4,6.45,1.3,0
Lamb,26.59,9.76,5,0
Mustard greens,2.86,0.42,70,3.2
Mushrooms,3.28,0.58,0,2.2
Onions,1.1,0.1,7.4,1.7
Pork,16.88,21.19,0.7,0
Potatoes,2.05,0.09,19.7,2.1
Soybeans,12.95,6.8,29,4.2
Squab,17.5,7.5,7.2,0
Wasabi,4.8,0.63,41.9,7.8
Waxgourd,0.4,0.2,0,2.9
Winged beans,6.95,0.87,18.3,0
