movie,extraversion,conscientiousness,emotionality,openness
27 Dresses,0.491867306,1.187849689,0.425176486,-1.959345155
50 First Dates,-0.36284336,1.187849689,-0.578141335,-0.662552872
A Walk to Remember,1.061674417,1.187849689,-0.427643661,-1.810726883
Avatar,-0.718972805,0.191167006,-0.578141335,-0.279828202
Back To the Future,-0.718972805,-0.60617914,0.926835397,-0.279828202
Big Fish,-0.718972805,-0.805515676,-0.076482424,1.63379515
Chronicles of Narnia,-0.718972805,-0.00816953,-0.578141335,-0.279828202
District 9,-1.075102249,-1.303857017,-0.578141335,1.25107048
Finding Nemo,1.061674417,-0.307174335,-0.076482424,-0.279828202
Forgetting Sarah Marshall,1.061674417,0.191167006,-0.176814206,-0.279828202
Goodfellas,1.061674417,1.187849689,-0.578141335,0.102896469
Harry Potter,-0.718972805,-0.307174335,-0.076482424,-0.279828202
Lord of the Rings,-0.718972805,0.689508347,-0.578141335,0.715255941
Monty Python and the Holy Grail,-1.787361138,-0.506510871,0.425176486,1.63379515
Pride & Prejudice,-0.718972805,1.187849689,0.57567416,0.86834581
Pulp Fiction,-0.36284336,-1.303857017,-0.578141335,1.63379515
Salt,0.705544973,1.187849689,-0.578141335,-0.279828202
Scott Pilgrim vs. the World,-0.718972805,-1.303857017,0.375010595,1.327615414
Terminator,-0.718972805,1.187849689,-1.079800245,-0.279828202
The Breakfast Club,0.206963751,-0.805515676,1.930153218,0.562166073
The Godfather,0.349415529,1.187849689,-0.578141335,-0.279828202
The Goonies,0.349415529,1.187849689,0.425176486,-0.279828202
The Karate Kid,-0.006713916,-0.307174335,-0.578141335,-1.045277542
The Proposal,0.705544973,1.187849689,-0.578141335,-1.351457279
Wedding Crashers,1.773933306,1.187849689,-0.578141335,-0.279828202
